PSNO_NA_ECP,PSNO_PA_ECP,PA_NO,PS_REGISTERED_VOTERS,WINNER_ECP,OPP_VOTES_ECP,PTI_VOTES_ECP,TURNOUT_NA_ECP,TURNOUT_NA_PERCENTAGE_ECP,TURNOUT_PA_ECP,TURNOUT_PA_PERCENTAGE_ECP,TURNOUT_DIFFERENCE
32,28,113,1697,Syed Mustafa Kamal (MQM),240,167,836,49.26340601,811,47.79021803,25
33,29,113,1406,Syed Mustafa Kamal (MQM),1105,97,1360,96.72830725,280,19.91465149,1080
34,30,113,2084,Syed Mustafa Kamal (MQM),1163,192,1700,81.57389635,1651,79.22264875,49
39,35,113,1929,Syed Mustafa Kamal (MQM),530,85,732,37.94712286,557,28.8750648,175
42,38,113,1648,Syed Mustafa Kamal (MQM),744,211,1440,87.37864078,810,49.15048544,630
47,43,113,1490,Syed Mustafa Kamal (MQM),208,66,640,42.95302013,640,42.95302013,0
48,44,113,1280,Syed Mustafa Kamal (MQM),117,51,280,21.875,280,21.875,0
49,45,113,1805,Syed Mustafa Kamal (MQM),396,129,856,47.42382271,856,47.42382271,0
52,48,113,1666,Syed Mustafa Kamal (MQM),580,105,978,58.70348139,976,58.58343337,2
53,49,113,1400,Syed Mustafa Kamal (MQM),761,87,958,68.42857143,938,67,20
54,50,113,1083,Syed Mustafa Kamal (MQM),713,99,1023,94.4598338,772,71.28347184,251
55,51,113,1175,Syed Mustafa Kamal (MQM),171,129,519,44.17021277,519,44.17021277,0
56,52,113,1960,Syed Mustafa Kamal (MQM),425,52,532,27.14285714,1508,76.93877551,976
59,55,113,1523,Syed Mustafa Kamal (MQM),971,181,1490,97.8332239,590,38.73933027,900
60,56,113,1888,Syed Mustafa Kamal (MQM),316,183,914,48.41101695,914,48.41101695,0
61,57,113,1410,Syed Mustafa Kamal (MQM),603,102,880,62.41134752,835,59.21985816,45
64,60,113,1867,Syed Mustafa Kamal (MQM),286,153,938,50.24102839,946,50.6695233,8
65,61,113,1444,Syed Mustafa Kamal (MQM),82,64,415,28.73961219,414,28.67036011,1
66,62,113,1283,Syed Mustafa Kamal (MQM),915,140,1256,97.89555729,1256,97.89555729,0
67,63,113,1079,Syed Mustafa Kamal (MQM),692,99,963,89.24930491,963,89.24930491,0
68,64,113,1535,Syed Mustafa Kamal (MQM),159,78,838,54.59283388,838,54.59283388,0
70,66,113,1575,Syed Mustafa Kamal (MQM),152,141,672,42.66666667,672,42.66666667,0
74,70,113,1267,Syed Mustafa Kamal (MQM),730,292,1194,94.23835833,494,38.98973954,700
79,75,113,1220,Syed Mustafa Kamal (MQM),738,186,1102,90.32786885,430,35.24590164,672
84,80,113,1535,Syed Mustafa Kamal (MQM),831,230,1465,95.43973941,665,43.32247557,800
85,81,113,1167,Syed Mustafa Kamal (MQM),809,113,1040,89.11739503,342,29.3059126,698
87,83,113,1170,Syed Mustafa Kamal (MQM),892,84,1127,96.32478632,276,23.58974359,851
91,87,113,1468,Syed Mustafa Kamal (MQM),922,251,1402,95.50408719,502,34.19618529,900
92,88,113,1827,Syed Mustafa Kamal (MQM),1427,153,1759,96.27805145,350,19.15708812,1409
106,17,112,1303,Syed Mustafa Kamal (MQM),906,77,1240,95.16500384,338,25.94013814,902
111,91,113,1571,Syed Mustafa Kamal (MQM),166,117,466,29.66263526,450,28.64417568,16
115,95,113,1163,Syed Mustafa Kamal (MQM),156,72,369,31.72828891,369,31.72828891,0
116,96,113,1045,Syed Mustafa Kamal (MQM),185,62,359,34.35406699,359,34.35406699,0
117,97,113,1680,Syed Mustafa Kamal (MQM),123,73,327,19.46428571,332,19.76190476,5
118,98,113,1762,Syed Mustafa Kamal (MQM),1421,75,1563,88.70601589,1654,93.87060159,91
120,100,113,1752,Syed Mustafa Kamal (MQM),1447,53,1666,95.0913242,960,54.79452055,706
121,101,113,1353,Syed Mustafa Kamal (MQM),186,45,319,23.57723577,319,23.57723577,0
122,102,113,1618,Syed Mustafa Kamal (MQM),315,106,666,41.16192831,662,40.91470952,4
123,103,113,1119,Syed Mustafa Kamal (MQM),124,56,318,28.41823056,318,28.41823056,0
124,104,113,1264,Syed Mustafa Kamal (MQM),91,68,269,21.28164557,269,21.28164557,0
125,105,113,1738,Syed Mustafa Kamal (MQM),264,146,596,34.29228999,596,34.29228999,0
126,106,113,1764,Syed Mustafa Kamal (MQM),204,126,532,30.15873016,532,30.15873016,0
127,107,113,1680,Syed Mustafa Kamal (MQM),375,106,673,40.05952381,671,39.94047619,2
128,108,113,1230,Syed Mustafa Kamal (MQM),986,55,1142,92.84552846,341,27.72357724,801
129,109,113,1586,Syed Mustafa Kamal (MQM),90,81,290,18.28499369,290,18.28499369,0
130,110,113,1865,Syed Mustafa Kamal (MQM),663,190,1183,63.43163539,1124,60.26809651,59
135,22,112,1549,Syed Mustafa Kamal (MQM),272,184,717,46.2879277,717,46.2879277,0
136,23,112,1346,Syed Mustafa Kamal (MQM),132,118,426,31.64933135,429,31.87221397,3
137,24,112,1570,Syed Mustafa Kamal (MQM),155,149,559,35.60509554,559,35.60509554,0
138,25,112,1416,Syed Mustafa Kamal (MQM),180,160,527,37.21751412,527,37.21751412,0
139,26,112,1484,Syed Mustafa Kamal (MQM),923,134,1420,95.68733154,620,41.77897574,800
140,27,112,1162,Syed Mustafa Kamal (MQM),644,55,955,82.1858864,366,31.49741824,589
145,32,112,1245,Syed Mustafa Kamal (MQM),106,84,422,33.89558233,422,33.89558233,0
146,33,112,2126,Syed Mustafa Kamal (MQM),817,180,1434,67.45061148,950,44.68485419,484
147,34,112,1692,Syed Mustafa Kamal (MQM),135,109,502,29.66903073,504,29.78723404,2
148,35,112,1520,Syed Mustafa Kamal (MQM),130,118,608,40,605,39.80263158,3
150,37,112,1694,Syed Mustafa Kamal (MQM),1112,159,1602,94.5690673,605,35.71428571,997
151,38,112,1242,Syed Mustafa Kamal (MQM),946,90,1187,95.57165862,292,23.51046699,895
154,41,112,1861,Syed Mustafa Kamal (MQM),1295,138,1697,91.18753358,498,26.75980656,1199
156,43,112,1404,Syed Mustafa Kamal (MQM),159,101,490,34.9002849,493,35.11396011,3
157,44,112,1452,Syed Mustafa Kamal (MQM),454,85,584,40.22038567,383,26.37741047,201
158,45,112,1329,Syed Mustafa Kamal (MQM),828,141,1215,91.4221219,515,38.75094056,700
160,47,112,1699,Syed Mustafa Kamal (MQM),1106,201,1593,93.7610359,626,36.84520306,967
165,52,112,1833,Syed Mustafa Kamal (MQM),1365,120,1684,91.87124932,384,20.9492635,1300
166,53,112,2079,Syed Mustafa Kamal (MQM),272,196,812,39.05723906,813,39.10533911,1
167,54,112,1499,Syed Mustafa Kamal (MQM),152,86,433,28.88592395,433,28.88592395,0
173,59,111,932,Syed Mustafa Kamal (MQM),605,46,863,92.59656652,249,26.7167382,614
175,61,111,805,Syed Mustafa Kamal (MQM),350,55,450,55.90062112,553,68.69565217,103
189,70,111,1630,Syed Mustafa Kamal (MQM),1017,156,1435,88.03680982,437,26.80981595,998
190,71,111,1080,Syed Mustafa Kamal (MQM),649,92,1003,92.87037037,405,37.5,598
198,69,112,2105,Syed Mustafa Kamal (MQM),277,226,840,39.90498812,843,40.04750594,3
206,77,112,1061,Syed Mustafa Kamal (MQM),802,132,1033,97.36098021,233,21.9604147,800
207,78,112,1530,Syed Mustafa Kamal (MQM),127,28,348,22.74509804,348,22.74509804,0
210,81,112,1710,Syed Mustafa Kamal (MQM),1125,247,1676,98.01169591,577,33.74269006,1099
214,85,112,1089,Syed Mustafa Kamal (MQM),702,91,946,86.86868687,244,22.40587695,702
221,92,112,1123,Syed Mustafa Kamal (MQM),620,208,1038,92.43098842,440,39.18076581,598
226,97,112,1495,Syed Mustafa Kamal (MQM),1055,82,1337,89.43143813,337,22.54180602,1000
230,101,112,1002,Syed Mustafa Kamal (MQM),96,66,426,42.51497006,426,42.51497006,0
232,33,114,1702,Syed Mustafa Kamal (MQM),868,404,1512,88.83666275,709,41.65687427,803
233,34,114,1654,Syed Mustafa Kamal (MQM),925,409,1592,96.25151149,792,47.88391778,800
238,39,114,1631,Syed Mustafa Kamal (MQM),145,96,316,19.3746168,37,2.268546904,279
240,41,114,2133,Syed Mustafa Kamal (MQM),1122,577,2010,94.23347398,928,43.50679794,1082
